PetType,Breed,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,target,AgeYears
Cat,Persian,Black,Large,13.082445084998763,0,1,80,236,0,0,14.58
Bird,Parakeet,Brown,Medium,17.561701710600925,1,0,21,388,1,1,4.0
Bird,Parakeet,Orange,Medium,12.665968255511572,0,0,82,208,0,1,13.5
Rabbit,Rabbit,Brown,Small,7.79673262965839,1,1,83,246,0,0,7.67
Rabbit,Rabbit,Orange,Large,15.724812404017266,1,0,28,305,0,0,13.67
Dog,Labrador,Orange,Medium,27.227052905300177,1,0,38,446,0,0,10.25
Rabbit,Rabbit,Gray,Small,27.47083417620924,1,0,6,198,1,1,14.92
Dog,Poodle,White,Large,13.253642026491791,0,0,19,436,1,0,13.33
Dog,Golden Retriever,Black,Medium,23.84999721469524,1,0,3,70,0,1,14.92
Cat,Siamese,Orange,Large,6.210052009268534,1,1,3,33,0,0,14.0
Rabbit,Rabbit,Black,Small,14.920536785494006,1,0,44,181,0,0,13.67
Rabbit,Rabbit,Orange,Small,1.7585919273791757,1,0,68,302,0,0,9.42
Bird,Parakeet,Brown,Medium,13.668941060156673,0,0,75,132,1,0,13.83
Rabbit,Rabbit,White,Large,1.45518126229211,0,0,9,449,1,0,2.17
Rabbit,Rabbit,White,Small,25.99452960242946,1,0,78,57,1,0,3.25
Rabbit,Rabbit,Gray,Large,10.399920041151091,1,0,39,234,0,0,6.92
Dog,Labrador,Orange,Medium,14.668332029046985,1,0,1,27,0,1,12.0
Dog,Labrador,White,Large,2.4747492854388127,0,0,22,467,0,0,5.67
Rabbit,Rabbit,Gray,Medium,18.691257018274797,1,0,38,356,0,1,3.83
Dog,Labrador,Black,Large,19.442247725501577,1,0,27,16,0,1,0.67
Cat,Siamese,White,Small,13.92758367922464,0,0,3,466,0,0,12.33
Rabbit,Rabbit,Orange,Small,17.81435500983709,1,1,27,120,0,0,8.33
Cat,Siamese,Brown,Small,12.805226601990428,1,1,84,3,1,0,5.5
Cat,Persian,Black,Medium,27.269655570865076,1,0,86,432,0,1,3.17
Cat,Persian,Black,Large,2.295175274988064,0,0,49,332,0,1,5.25
Dog,Labrador,Brown,Medium,16.688600830314428,1,1,57,357,0,1,8.42
Dog,Poodle,Brown,Large,19.64876881266086,1,0,48,409,0,0,4.58
Rabbit,Rabbit,Black,Medium,6.545105014655512,1,1,58,203,1,0,4.08
Dog,Golden Retriever,White,Medium,21.01496104752563,1,0,6,334,0,1,1.0
Rabbit,Rabbit,White,Small,20.02403928494017,1,1,51,300,0,0,11.67
Dog,Golden Retriever,Brown,Large,22.923009619006194,1,1,73,140,1,0,6.42
Bird,Parakeet,Gray,Large,26.071698905880424,0,0,49,301,0,0,11.75
Cat,Persian,Orange,Medium,13.579569957807456,0,0,74,42,0,0,10.08
Cat,Persian,Gray,Small,26.545561289467365,1,0,26,144,0,0,4.33
Bird,Parakeet,White,Large,4.192139045250658,0,0,25,43,1,0,0.42
Dog,Poodle,Black,Medium,20.87084215932612,0,0,54,80,1,0,11.92
Rabbit,Rabbit,Gray,Small,10.796694256325358,0,0,22,380,1,0,10.17
Cat,Persian,Orange,Medium,4.587034667799061,1,0,21,359,0,1,2.58
Dog,Labrador,Brown,Large,20.986260902397984,0,0,87,301,1,0,5.83
Cat,Persian,Black,Large,21.69748150162451,1,1,65,132,0,0,2.5
Dog,Labrador,Brown,Large,23.723932947543627,1,0,46,270,0,1,13.5
Dog,Labrador,Brown,Medium,6.496052253883927,1,0,30,156,0,1,5.92
Dog,Poodle,Black,Small,16.930464590394436,1,0,70,413,0,0,12.92
Cat,Persian,Brown,Large,16.171582023373496,1,0,56,265,0,1,0.25
Cat,Siamese,Brown,Medium,29.064458685113493,1,0,43,86,0,1,13.58
Rabbit,Rabbit,White,Medium,24.64528409181128,1,0,83,439,0,1,9.67
Dog,Labrador,Gray,Medium,7.558396394261434,1,0,9,181,0,1,5.17
Rabbit,Rabbit,Orange,Small,21.0829063700746,1,0,79,310,0,0,2.33
Cat,Persian,Gray,Medium,13.977583801285736,1,1,31,391,1,0,12.42
Cat,Persian,Orange,Small,7.503929129015253,1,0,18,27,1,1,4.25
Rabbit,Rabbit,Orange,Medium,18.47742886739065,1,1,30,433,0,0,11.08
Dog,Poodle,White,Large,2.259567359833486,1,0,20,235,1,0,9.5
Cat,Siamese,Orange,Small,7.103330493119494,1,0,69,171,1,0,10.83
Bird,Parakeet,Orange,Large,21.3395432490028,1,0,22,413,0,0,5.83
Rabbit,Rabbit,White,Large,28.878704304649386,1,0,13,265,0,0,14.58
Cat,Persian,White,Medium,22.593312302929203,1,0,51,117,0,1,14.0
Rabbit,Rabbit,White,Medium,15.095281756054971,0,0,17,145,0,0,3.17
Dog,Labrador,Gray,Medium,1.5137016676722814,1,0,38,348,0,1,14.33
Rabbit,Rabbit,Brown,Small,10.177182719470272,0,0,81,276,1,0,12.42
Bird,Parakeet,Black,Small,12.319447598585086,1,0,15,283,0,1,0.17
Rabbit,Rabbit,Black,Medium,19.04890201272205,1,0,87,85,0,1,5.25
Bird,Parakeet,Black,Large,20.121364231086478,0,0,14,488,1,0,1.25
Cat,Siamese,Brown,Small,6.463165270711317,1,0,2,486,0,0,5.5
Cat,Persian,White,Small,1.4616877506211594,1,0,88,34,1,0,12.5
Rabbit,Rabbit,White,Small,28.00161842473243,1,0,54,184,1,0,9.25
Rabbit,Rabbit,White,Small,13.721856384094012,0,0,2,448,1,0,14.08
Cat,Persian,Orange,Large,8.42030368355417,1,0,76,496,1,0,9.42
Cat,Siamese,Orange,Medium,24.454996222588125,1,0,68,378,0,1,7.0
Dog,Labrador,Black,Small,19.636210121117017,0,0,59,394,1,0,12.25
Cat,Siamese,Brown,Medium,1.5639414941668517,1,0,23,434,0,1,14.33
Dog,Poodle,Orange,Small,19.72228030974445,1,0,14,69,0,1,1.17
Dog,Golden Retriever,Black,Medium,20.30386451815283,0,0,75,63,0,0,5.17
Rabbit,Rabbit,Brown,Medium,16.305099894756978,1,0,75,303,1,1,0.58
Rabbit,Rabbit,Black,Small,27.81033420044753,1,0,50,436,1,0,8.17
Rabbit,Rabbit,Orange,Medium,3.715353906675248,1,0,64,18,0,1,8.75
Rabbit,Rabbit,White,Large,26.26667587283456,1,0,20,295,0,0,8.42
Bird,Parakeet,Brown,Large,16.297382392189583,1,0,84,239,0,0,3.92
Dog,Labrador,Gray,Small,18.452964110358387,1,0,79,80,1,1,2.75
Rabbit,Rabbit,Orange,Medium,13.888787772473464,1,0,51,285,0,1,2.67
Bird,Parakeet,Black,Large,22.098556389674137,1,0,21,90,1,0,10.5
Cat,Siamese,Brown,Medium,13.11863590191068,0,0,87,225,0,0,7.08
Rabbit,Rabbit,White,Medium,26.77643284041742,1,0,4,152,1,1,6.67
Dog,Labrador,Gray,Small,17.858309572026545,1,0,43,173,0,1,0.5
Bird,Parakeet,Black,Large,15.736895383974934,1,0,21,155,0,0,7.17
Cat,Siamese,Gray,Small,12.254863324980558,1,0,38,76,0,0,2.5
Cat,Siamese,Orange,Large,20.455081723055272,0,1,64,320,1,0,9.92
Cat,Persian,White,Small,17.231805641921092,0,0,80,407,0,0,13.67
Cat,Siamese,Gray,Large,24.12276736384892,0,0,64,490,1,0,11.0
Bird,Parakeet,Black,Medium,2.8108839742438,1,0,2,317,0,1,12.0
Rabbit,Rabbit,White,Small,29.731715472403348,1,0,41,431,0,0,8.67
Rabbit,Rabbit,White,Medium,1.4597528158334423,0,0,66,124,0,0,14.67
Dog,Golden Retriever,White,Large,4.642852781530841,1,1,15,313,0,0,0.33
Bird,Parakeet,Gray,Small,10.181343751906502,1,0,19,68,0,0,4.58
Bird,Parakeet,White,Small,20.603782202933864,1,0,71,499,0,0,4.67
Bird,Parakeet,Black,Medium,9.86380640824932,1,0,15,479,1,1,11.75
Dog,Golden Retriever,Brown,Large,10.457075642525009,1,0,25,435,0,0,7.0
Dog,Labrador,Brown,Small,9.945607164897904,1,0,18,355,0,1,8.33
Dog,Golden Retriever,Orange,Medium,29.02054604546879,1,0,5,146,0,1,0.08
Cat,Persian,White,Small,28.83372980669373,1,0,1,157,0,0,10.0
Bird,Parakeet,Brown,Medium,14.153611478840068,0,0,35,253,0,0,3.58
Rabbit,Rabbit,Orange,Medium,24.223277951377213,1,0,52,350,1,1,8.17
Cat,Persian,Brown,Small,10.47641984649631,1,0,73,87,0,0,5.75
Cat,Persian,Black,Large,6.992652361859454,0,1,35,462,0,0,7.0
Cat,Siamese,Gray,Medium,7.938507019792453,0,0,52,317,1,0,4.92
Bird,Parakeet,White,Medium,2.251938435025302,1,0,69,295,0,1,5.42
Dog,Poodle,Black,Small,23.131351674621275,0,1,12,407,0,0,9.5
Rabbit,Rabbit,Brown,Medium,13.70523787996556,1,0,35,231,0,1,7.67
Bird,Parakeet,Gray,Large,8.366899516170593,1,0,72,412,0,0,6.75
Cat,Persian,Brown,Small,24.725020881330703,0,0,37,403,0,0,6.5
Rabbit,Rabbit,Black,Large,18.19649832805553,1,1,71,436,0,0,4.08
Bird,Parakeet,Black,Small,20.24156001275246,1,0,26,356,0,1,7.92
Dog,Golden Retriever,Orange,Large,19.094825773528413,1,1,68,160,1,0,2.92
Dog,Labrador,Gray,Large,15.751834569838293,1,0,24,426,1,1,12.5
Cat,Persian,Black,Small,7.512224608797995,1,0,43,14,0,0,12.67
Dog,Labrador,Orange,Medium,21.78483898726161,0,0,23,227,0,1,1.75
Cat,Persian,White,Large,15.002788184505455,1,0,61,46,0,0,3.92
Dog,Labrador,White,Large,17.074720469590623,1,1,1,242,1,0,6.83
Bird,Parakeet,White,Medium,26.60066928916841,1,0,5,0,1,1,3.83
Dog,Labrador,White,Small,28.64387818465575,1,0,9,200,0,0,5.83
Dog,Golden Retriever,Brown,Medium,16.94085379604077,0,0,68,185,1,0,11.17
Dog,Golden Retriever,Gray,Large,21.518527694617863,1,0,5,497,0,0,5.58
Rabbit,Rabbit,Black,Large,28.0981862884329,0,0,14,490,1,0,0.25
Dog,Labrador,White,Large,19.727019475577872,0,1,83,349,0,0,9.83
Cat,Siamese,Orange,Small,27.10905494766024,0,0,4,437,1,0,14.25
Cat,Persian,White,Small,29.980752119521625,1,0,65,134,0,0,9.25
Bird,Parakeet,Gray,Large,13.871823743076511,1,0,87,419,1,0,12.92
Dog,Labrador,Black,Large,8.319649733322386,0,0,8,258,1,0,14.67
Bird,Parakeet,Gray,Medium,11.76207664188663,1,0,65,423,1,1,9.92
Bird,Parakeet,Brown,Small,22.29498968051012,1,1,31,344,0,0,7.08
Rabbit,Rabbit,Orange,Medium,9.104613795659809,1,1,34,225,1,0,12.92
Rabbit,Rabbit,Black,Medium,4.575233896119971,1,0,45,178,0,1,5.58
Dog,Golden Retriever,White,Large,5.629349946429764,0,0,57,32,0,0,14.5
Dog,Golden Retriever,Orange,Medium,29.984568931874826,1,0,72,171,1,1,12.17
Dog,Poodle,Brown,Medium,15.375032336632705,1,0,20,80,0,1,14.08
Dog,Golden Retriever,Orange,Small,5.136976192721701,1,0,14,405,0,0,5.5
Rabbit,Rabbit,Gray,Large,13.582753406078904,1,1,6,449,1,0,6.83
Cat,Persian,Gray,Medium,27.608801943294,1,0,75,147,0,1,5.42
Cat,Siamese,White,Medium,25.26516089816979,0,0,52,186,0,0,13.75
Bird,Parakeet,Black,Medium,10.618077481133508,1,0,38,213,0,1,14.42
Rabbit,Rabbit,White,Large,15.757672400053128,1,0,9,322,1,0,7.92
Rabbit,Rabbit,Orange,Large,26.704690765770685,1,0,40,114,1,0,7.17
Cat,Siamese,Black,Large,18.50398784208796,1,0,19,310,0,0,4.5
Cat,Persian,Brown,Medium,9.4874719270233,1,0,24,76,1,1,6.25
Dog,Golden Retriever,Gray,Large,9.135306833806627,1,0,67,185,1,0,14.58
Bird,Parakeet,Brown,Large,19.03616527894457,1,0,40,458,1,0,7.58
Rabbit,Rabbit,Brown,Large,3.446755996716646,1,0,89,168,0,0,3.83
Cat,Siamese,Brown,Large,5.106900104611899,0,0,31,478,1,0,10.33
Bird,Parakeet,Black,Small,6.860347146509103,1,0,69,422,0,0,2.58
Dog,Golden Retriever,Brown,Large,12.129946421298571,1,0,77,28,0,1,10.25
Dog,Poodle,Brown,Large,8.720713543465497,1,0,9,31,0,0,12.08
Dog,Labrador,Gray,Medium,22.555539781498226,1,0,86,196,0,1,9.67
Dog,Labrador,Orange,Small,11.944241124268512,1,1,19,206,0,0,5.67
Bird,Parakeet,Orange,Large,1.501353298137533,1,0,55,373,1,0,14.83
Bird,Parakeet,Brown,Small,23.87940859411288,0,1,8,149,0,0,0.83
Bird,Parakeet,Brown,Medium,9.00251601655844,1,0,6,365,0,1,5.42
Dog,Golden Retriever,White,Large,4.841599666517787,1,0,14,77,0,1,0.08
Rabbit,Rabbit,White,Large,13.84557931169005,1,0,39,18,1,0,10.42
Bird,Parakeet,Black,Small,26.99216501274985,0,1,31,436,0,0,7.25
Dog,Golden Retriever,Black,Small,8.879518046768695,0,0,7,396,0,0,12.42
Dog,Poodle,Black,Medium,3.624393021780136,1,0,29,64,0,1,3.5
Rabbit,Rabbit,Gray,Medium,1.1578675665590266,0,0,9,54,0,0,5.0
Bird,Parakeet,Orange,Large,22.02300472806896,1,0,13,365,1,1,1.92
Rabbit,Rabbit,White,Medium,21.525735372511992,1,0,18,300,0,1,6.75
Cat,Persian,Gray,Large,15.475925164617191,1,0,53,8,0,0,13.42
Cat,Persian,Black,Small,25.24076383566103,1,0,32,41,1,0,6.83
Cat,Siamese,White,Large,8.950757092496705,1,0,48,148,1,0,3.0
Dog,Labrador,Brown,Small,22.21870836483697,1,1,35,100,0,0,6.75
Cat,Siamese,Black,Small,16.15918966364878,0,0,10,129,0,0,8.92
Rabbit,Rabbit,Gray,Medium,3.737526801211916,0,0,16,176,0,0,12.58
Dog,Labrador,White,Large,18.417592246428296,1,0,87,114,0,1,12.08
Dog,Poodle,Brown,Medium,8.493386788240732,1,0,16,241,0,1,13.92
Rabbit,Rabbit,Gray,Medium,14.882349896510636,1,0,79,101,1,1,12.92
Cat,Siamese,Black,Small,3.762219085213215,1,0,54,50,0,0,3.33
Rabbit,Rabbit,White,Small,9.678204158544652,1,0,88,471,0,0,14.42
Cat,Siamese,Black,Large,11.12252030938499,0,0,59,170,0,0,3.08
Dog,Golden Retriever,Brown,Small,13.68307960054525,1,0,20,267,1,0,11.08
Cat,Persian,White,Small,13.865726715158598,1,1,74,77,0,0,11.5
Rabbit,Rabbit,Orange,Small,20.712048084050988,1,1,13,60,0,0,8.33
Cat,Siamese,Black,Medium,7.788977284148577,1,0,18,220,1,1,5.92
Dog,Labrador,Gray,Small,21.010748894278983,1,1,75,296,0,0,13.42
Cat,Persian,Brown,Medium,4.339517834683241,0,1,18,300,0,0,0.92
Dog,Labrador,Gray,Small,16.78131132032725,0,1,28,87,0,0,13.83
Bird,Parakeet,Orange,Large,21.564688553092186,1,0,85,89,0,0,10.17
Rabbit,Rabbit,Orange,Large,10.379842797905706,0,0,43,247,0,0,6.42
Dog,Poodle,White,Large,5.904621016681163,1,0,9,430,1,0,13.58
Bird,Parakeet,Gray,Small,11.02405113071392,1,0,31,30,0,0,6.58
Dog,Golden Retriever,Black,Large,16.69490920736765,1,0,81,293,0,1,1.08
Cat,Siamese,White,Small,1.2731758232009145,1,1,70,418,1,0,0.25
Rabbit,Rabbit,White,Medium,24.938291448092272,1,0,87,487,0,1,14.58
Dog,Golden Retriever,Black,Small,22.117317358465986,0,0,50,241,0,1,13.08
Cat,Persian,Brown,Large,25.428768680731334,1,0,15,137,1,0,13.42
Rabbit,Rabbit,Brown,Small,20.04764170156502,0,0,21,333,1,0,14.42
Rabbit,Rabbit,White,Small,13.189665973523434,1,0,65,124,0,0,5.33
Cat,Siamese,Gray,Large,19.56562218757393,1,0,38,70,0,0,4.17
Cat,Siamese,Orange,Small,8.246740586496104,1,0,21,165,0,0,8.17
Rabbit,Rabbit,White,Medium,9.343834600210853,0,0,51,443,1,0,5.75
Dog,Golden Retriever,Gray,Small,14.66962804782746,1,0,81,135,0,0,2.0
Cat,Siamese,Orange,Large,28.08458881889883,1,0,72,46,0,0,3.83
Rabbit,Rabbit,Gray,Small,14.228603492474852,0,0,51,424,1,0,7.5
Dog,Poodle,Gray,Medium,5.998127210203935,1,0,52,68,1,1,14.5
Bird,Parakeet,Black,Medium,28.13672858421196,0,0,29,220,0,0,9.17
Dog,Labrador,Orange,Large,13.223824292798424,0,0,7,487,0,0,7.92
Cat,Siamese,Black,Small,12.669413379618474,1,0,15,165,0,0,2.92
Cat,Persian,Gray,Large,15.925416197503,1,0,14,74,1,0,6.17
Rabbit,Rabbit,Brown,Large,13.119317030066874,0,0,48,425,0,0,2.25
Dog,Labrador,Gray,Medium,22.19930012504501,0,0,82,228,0,1,9.17
Bird,Parakeet,White,Medium,5.306012307153248,1,0,74,37,0,1,8.33
Dog,Labrador,Brown,Large,14.86198680657503,1,0,43,366,1,1,7.67
Rabbit,Rabbit,Black,Medium,22.73597603954664,1,0,77,418,0,1,5.92
Bird,Parakeet,Gray,Large,21.32932674575618,1,1,31,333,0,0,5.75
Cat,Persian,Brown,Small,6.036477471675855,0,1,63,492,1,0,4.5
Bird,Parakeet,Gray,Small,24.545364333837234,1,1,81,166,0,0,8.25
Bird,Parakeet,Orange,Medium,29.907423667686768,1,0,69,232,0,1,10.92
Bird,Parakeet,Brown,Large,9.831172485390116,1,1,51,367,0,0,1.33
Cat,Siamese,Orange,Small,29.78614090513324,1,0,10,482,0,0,4.92
Cat,Persian,Gray,Small,12.751238575679082,1,0,58,297,1,0,5.08
Dog,Labrador,Brown,Small,3.178564394480768,1,0,41,2,0,1,3.75
Dog,Poodle,Black,Large,5.595120765242127,1,1,29,296,0,0,2.58
Bird,Parakeet,White,Medium,6.588041746096071,0,1,47,446,0,0,5.5
Rabbit,Rabbit,Orange,Large,20.19447325329605,1,1,41,10,1,0,3.92
Dog,Labrador,Gray,Medium,6.14917967168346,0,0,60,30,0,1,11.58
Bird,Parakeet,White,Medium,17.165449098665274,0,0,48,170,0,0,8.25
Dog,Poodle,White,Large,23.300425661630253,1,0,60,165,1,1,8.0
Bird,Parakeet,Brown,Small,17.51070432530953,1,0,61,369,0,0,7.0
Cat,Siamese,Gray,Large,25.371609613190877,1,1,23,174,1,0,12.42
Rabbit,Rabbit,Black,Large,17.33441947094482,1,1,65,497,0,0,1.08
Cat,Siamese,Black,Large,22.92412301144824,1,0,49,49,0,0,13.75
Rabbit,Rabbit,White,Small,22.818025373426725,1,0,84,56,1,0,13.42
Dog,Labrador,Brown,Medium,27.824331498816008,1,0,89,364,0,1,6.0
Cat,Siamese,White,Small,14.966085066361517,1,0,32,89,1,1,1.67
Rabbit,Rabbit,Brown,Large,20.268289811187657,1,0,37,275,0,0,9.5
Dog,Poodle,Black,Medium,6.505727147858105,1,0,67,409,1,1,5.33
Dog,Golden Retriever,Black,Small,27.537416667384168,1,0,57,134,1,0,12.08
Rabbit,Rabbit,White,Small,14.198602699950314,1,0,1,342,0,0,2.33
Bird,Parakeet,Black,Large,27.643671839323293,1,0,6,471,0,0,2.0
Bird,Parakeet,White,Small,25.75050104287404,1,0,59,148,0,0,3.42
Bird,Parakeet,Black,Small,14.589452493523783,1,0,83,66,1,0,2.08
Dog,Poodle,Gray,Large,2.2076766478594294,1,0,56,384,0,1,0.58
Rabbit,Rabbit,Black,Medium,25.16255813377817,1,0,87,59,0,1,12.0
Bird,Parakeet,Gray,Medium,13.71673248427013,1,0,83,289,1,1,9.08
Bird,Parakeet,Orange,Medium,9.866927697858866,1,1,67,431,0,0,3.92
Rabbit,Rabbit,Gray,Small,23.892000442503733,0,0,53,82,1,0,8.5
Dog,Poodle,Orange,Large,7.887095228503795,0,1,66,252,0,0,0.17
Dog,Labrador,Brown,Small,23.472925696872693,1,1,27,282,0,0,6.67
Dog,Poodle,Black,Large,25.134934094544807,1,0,23,326,0,0,4.92
Cat,Siamese,Gray,Large,10.14707534650182,1,0,38,468,0,0,7.67
Cat,Persian,Gray,Large,19.28299535408171,0,0,72,242,1,0,8.67
Dog,Poodle,Brown,Medium,20.832425493735883,1,0,9,210,0,1,12.67
Dog,Poodle,Brown,Small,8.065518511021905,1,0,78,175,0,0,8.08
Bird,Parakeet,White,Medium,7.02592347643786,1,0,76,113,1,1,8.92
Dog,Golden Retriever,Gray,Large,9.0652528590603,0,0,3,466,1,0,13.67
Bird,Parakeet,Black,Large,26.05468983827581,1,0,86,375,0,0,10.08
Bird,Parakeet,Black,Large,6.820672444499974,1,0,1,406,0,0,4.67
Dog,Poodle,Black,Medium,27.15537758071777,1,1,66,97,0,0,5.5
Rabbit,Rabbit,Black,Medium,27.183172679532355,1,0,15,354,0,1,1.33
Bird,Parakeet,Orange,Large,21.266176442934952,0,1,6,237,0,0,1.33
Cat,Siamese,Orange,Medium,7.370781867898963,1,0,83,87,0,1,4.17
Cat,Siamese,White,Large,9.986103832846055,1,0,3,234,1,0,4.42
Cat,Siamese,Brown,Medium,25.412935566592616,1,0,1,329,0,1,1.5
Dog,Golden Retriever,Gray,Large,11.738498926798217,0,0,26,361,1,0,1.33
Cat,Persian,Brown,Small,17.8621644899301,1,0,86,92,0,0,13.67
Rabbit,Rabbit,Gray,Medium,24.942499322303437,0,0,89,193,1,0,2.75
Rabbit,Rabbit,Gray,Small,20.51195076818444,1,0,36,399,0,0,8.25
Dog,Labrador,Brown,Medium,26.32601532447412,1,0,2,410,0,1,10.83
Dog,Poodle,Brown,Large,5.464933921328612,1,0,54,379,0,0,2.08
Dog,Labrador,Gray,Large,24.246965093478973,1,0,54,269,1,1,11.92
Bird,Parakeet,Gray,Large,20.719179592591917,1,1,72,498,1,0,13.83
Dog,Labrador,White,Small,9.456055716673562,1,0,6,494,0,1,3.58
Dog,Labrador,Black,Medium,7.783761802602161,1,0,36,272,1,1,13.17
Rabbit,Rabbit,Orange,Large,10.893330448770808,0,0,43,373,0,0,14.08
Dog,Poodle,White,Large,5.8361637973080684,0,1,66,275,1,0,9.42
Cat,Siamese,Brown,Medium,24.471716788671426,0,0,44,408,1,0,14.33
Dog,Poodle,Orange,Small,27.039045038453317,1,0,66,26,1,1,6.0
Dog,Golden Retriever,White,Large,4.929341048936498,1,0,37,498,0,0,8.42
Cat,Siamese,Black,Small,22.31066509448843,1,0,52,303,0,0,6.92
Rabbit,Rabbit,Gray,Small,21.824950400724653,0,0,22,217,0,0,11.42
Bird,Parakeet,Black,Large,19.29468012070824,1,0,79,195,1,0,4.25
Cat,Siamese,Black,Large,27.085870187792985,0,0,4,465,0,0,14.08
Rabbit,Rabbit,White,Medium,7.267653952114104,0,0,18,76,0,0,9.33
Cat,Siamese,Gray,Large,11.144297280835804,1,0,6,464,1,0,13.25
Cat,Siamese,Gray,Large,1.156557723326645,1,0,8,329,1,0,14.5
Dog,Golden Retriever,Black,Medium,12.6255819187094,0,0,60,14,0,0,13.33
Dog,Golden Retriever,White,Small,26.127080834222205,1,0,63,206,0,1,1.92
Dog,Golden Retriever,Brown,Small,18.11369477186972,1,1,14,319,1,0,12.67
Cat,Persian,Brown,Small,16.130553547936522,1,0,69,91,0,0,2.67
Bird,Parakeet,Orange,Small,8.656372536084898,0,0,77,44,0,0,2.83
Cat,Siamese,White,Small,18.49872215438713,1,1,87,120,0,0,7.25
Dog,Poodle,Black,Small,15.742309139373177,1,0,24,234,0,0,10.08
